Estado,Município,Cartório,Serviços,Status do Cartório,Tipo
AC,Acrelândia,Ofício Único da Comarca de Acrelândia,Notas; Protesto de Títulos; Registro Civil das Pessoas Naturais; Registro de Imóveis; Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,Cartório
AC,Acrelândia,Primeiro Tabelionato de Notas da Comarca de Acrelândia,Notas,Inativo,Cartório
AC,Acrelândia,Serventia de Registro Civil das Pessoas Naturais da Comarca de Acrelândia,Registro Civil das Pessoas Naturais,Inativo,Cartório
AC,Acrelândia,Serventia de Registro de Imóveis da Comarca de Acrelândia,Registro de Imóveis,Inativo,Cartório
AC,Acrelândia,Serventia de Registro de Títulos e Documentos e Civis das Pessoas Jurídicas de Acrelândia,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Inativo,Cartório
AC,Acrelândia,Tabelionato de Protesto de Títulos Cambiais,Protesto de Títulos,Inativo,Cartório
AC,Acrelândia,Vara Única,Não informado,Ativo,Vara
AC,Acrelândia,Centro Judiciário de Solução de Conflitos e Cidadania - Cejusc de Acrelândia,Não informado,Ativo,Vara
AC,Assis Brasil,Serventia de Registro Civil das Pessoas Naturais da Comarca de Assis Brasil,Registro Civil das Pessoas Naturais,Inativo,Cartório
AC,Assis Brasil,Serventia de Registro de Imóveis da Comarca de Assis Brasil,Registro de Imóveis,Inativo,Cartório
AC,Assis Brasil,Serventia de Registro de Títulos e Documentos e Civis das Pessoas Jurídicas de Assis Brasil,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Inativo,Cartório
AC,Assis Brasil,Serventias Extrajudiciais da Comarca de Assis Brasil,Notas; Protesto de Títulos; Registro Civil das Pessoas Naturais; Registro de Imóveis; Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,Cartório
AC,Assis Brasil,Tabelionado de Protesto de Títulos da Comarca de Assis Brasil,Protesto de Títulos,Inativo,Cartório
AC,Assis Brasil,Tabelionato de Notas da Comarca de Assis Brasil,Notas,Inativo,Cartório
AC,Assis Brasil,Vara Única,Não informado,Ativo,Vara
AC,Assis Brasil,Centro Judiciário de Solução de Conflitos e Cidadania - Cejusc de Assis Brasil,Não informado,Ativo,Vara
AC,Assis Brasil,2ª Vara do Tribunal do Júri e Auditoria Militar,Não informado,Ativo,Vara
AC,Brasiléia,Cartório Azevedo,Notas; Protesto de Títulos; Registro Civil das Pessoas Jurídicas; Registro Civil das Pessoas Naturais; Registro de Imóveis; Registro de Imóveis e Títulos e Documentos; Registro de Interdições e Tutelas; Registro de Títulos e Documentos; Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,Cartório
AC,Brasiléia,Serventia de Registro Civil das Pessoas Naturais da Comarca de Brasiléia/AC,Registro Civil das Pessoas Naturais,Inativo,Cartório
AC,Brasiléia,Serventia de Registro de Imóveis da Comarca de Brasiléia/AC,Registro de Imóveis,Inativo,Cartório
AC,Brasiléia,Serventia de Registro de Títulos e Documentos e Civis das Pessoas Jurídicas de Brasiléia/AC,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Inativo,Cartório
AC,Brasiléia,Tabelionato de Notas da Comarca de Brasiléia/AC,Notas,Inativo,Cartório
AC,Brasiléia,Tabelionato de Protesto de Títulos de Brasiléia/AC,Protesto de Títulos,Inativo,Cartório
AC,Brasiléia,Central de Execuções de Penas Alternativas,Não informado,Ativo,Vara
AC,Brasiléia,Juizado Especial Criminal,Não informado,Ativo,Vara
AC,Brasiléia,Vara Criminal,Não informado,Ativo,Vara
AC,Brasiléia,Vara Cível,Não informado,Ativo,Vara
AC,Brasiléia,Juizado Especial Cível,Não informado,Ativo,Vara
AC,Brasiléia,Centro Judiciário de Solução de Conflitos e Cidadania - Cejusc de Brasileia,Não informado,Ativo,Vara
AC,Bujari,Cartório Bujari: Serventias Extrajudiciais da Comarca de Bujari,Notas; Protesto de Títulos; Registro Civil das Pessoas Jurídicas; Registro Civil das Pessoas Naturais; Registro de Contratos Marítimos; Registro de Distribuição; Registro de Imóveis; Registro de Imóveis e Títulos e Documentos; Registro de Interdições e Tutelas; Registro de Títulos e Documentos; Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,Cartório
AC,Bujari,Serventia de Registro Civil das Pessoas Naturais da Comarca de Bujari,Notas; Protesto de Títulos; Registro Civil das Pessoas Naturais; Registro de Contratos Marítimos; Registro de Distribuição; Registro de Imóveis; Registro de Imóveis e Títulos e Documentos; Registro de Interdições e Tutelas; Registro de Títulos e Documentos; Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Inativo,Cartório
AC,Bujari,Serventia de Registro de Imóveis da Comarca de Bujari,Registro de Imóveis,Inativo,Cartório
AC,Bujari,Serventia de Registro de Títulos e Documentos e Civis das Pessoas Jurídicas da Comarca de Bujari,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Inativo,Cartório
AC,Bujari,Tabelioonato de Notas da Comarca de Bujari,Notas,Inativo,Cartório
AC,Bujari,Vara Única,Não informado,Ativo,Vara
AC,Bujari,Centro Judiciário de Solução de Conflitos e Cidadania - Cejusc de Bujari,Não informado,Ativo,Vara
